pca,whiten,mcs,ms,method,n_clusters,noise_pct,ARI_core,ARI_reassign,NMI,top1,k5
64,1,30,10,eom,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,30,15,eom,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,40,3,eom,2,46.67,0.1036,0.1837,0.1679,0.9347,0.9111
64,1,40,5,eom,2,88.67,-0.0047,0.01,0.008,0.9347,0.9111
64,1,40,10,eom,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,40,15,eom,2,88.6,-0.0116,0.0075,0.0233,0.9347,0.9111
64,1,50,3,eom,2,85.33,-0.0098,0.0181,0.0101,0.9347,0.9111
64,1,50,5,eom,2,88.67,-0.0047,0.01,0.008,0.9347,0.9111
64,1,50,10,eom,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,50,15,eom,2,88.6,-0.0116,0.0075,0.0233,0.9347,0.9111
64,1,75,3,eom,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,5,eom,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,10,eom,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,15,eom,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,10,3,leaf,22,69.73,0.2051,0.1379,0.4967,0.9347,0.9111
64,1,10,5,leaf,10,84.33,0.2742,0.1794,0.5373,0.9347,0.9111
64,1,10,10,leaf,8,88.13,0.3707,0.1491,0.5983,0.9347,0.9111
64,1,10,15,leaf,6,89.73,0.3987,0.1013,0.5583,0.9347,0.9111
64,1,15,3,leaf,12,72.53,0.3235,0.182,0.5801,0.9347,0.9111
64,1,15,5,leaf,6,86.47,0.2568,0.1071,0.4974,0.9347,0.9111
64,1,15,10,leaf,6,84.87,0.3354,0.1831,0.5767,0.9347,0.9111
64,1,15,15,leaf,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,20,3,leaf,9,75.93,0.3557,0.2217,0.6244,0.9347,0.9111
64,1,20,5,leaf,6,86.47,0.2568,0.1071,0.4974,0.9347,0.9111
64,1,20,10,leaf,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,20,15,leaf,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,30,3,leaf,5,81.73,0.4346,0.1674,0.6932,0.9347,0.9111
64,1,30,5,leaf,3,86.33,-0.004,0.058,0.0062,0.9347,0.9111
64,1,30,10,leaf,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,30,15,leaf,3,86.6,0.3543,0.0981,0.5767,0.9347,0.9111
64,1,40,3,leaf,4,78.93,0.5715,0.2203,0.7485,0.9347,0.9111
64,1,40,5,leaf,2,88.67,-0.0047,0.01,0.008,0.9347,0.9111
64,1,40,10,leaf,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,40,15,leaf,2,88.6,-0.0116,0.0075,0.0233,0.9347,0.9111
64,1,50,3,leaf,2,85.33,-0.0098,0.0181,0.0101,0.9347,0.9111
64,1,50,5,leaf,2,88.67,-0.0047,0.01,0.008,0.9347,0.9111
64,1,50,10,leaf,2,89.07,-0.0072,0.0079,0.0174,0.9347,0.9111
64,1,50,15,leaf,2,88.6,-0.0116,0.0075,0.0233,0.9347,0.9111
64,1,75,3,leaf,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,5,leaf,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,10,leaf,0,100.0,0.0,0.0,0.0,0.9347,0.9111
64,1,75,15,leaf,0,100.0,0.0,0.0,0.0,0.9347,0.9111
