P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
0.9375,30,32,1.0,0.0,0.8776,0.9154,0.7935,0.8893,0.3982864320278168,52,32,13,1.625,unkda_nv050_blend010,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend010_ep6.npy,NV 0.50 blend010,1783908374383606500,louvain_res6,False,True,True,True,True,True,,False
0.875,28,32,1.0,0.0,0.8623,0.8935,0.6815,0.869,0.32004326581954956,55,32,13,1.71875,unkda_nv050_blend011,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend011_ep6.npy,NV 0.50 blend011,1783909273785530700,finch_p2,False,True,True,True,False,True,,False
0.9688,31,32,1.0,0.0,0.8691,0.9064,0.7787,0.8799,0.40089425444602966,51,32,12,1.59375,unkda_nv050_blend011,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend011_ep6.npy,NV 0.50 blend011,1783909273785530700,louvain_res6,True,True,True,False,False,True,,False
0.9688,31,32,1.0,0.0,0.8484,0.8814,0.6375,0.8545,0.3033139705657959,59,32,14,1.84375,unkda_nv050_blend012,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend012_ep6.npy,NV 0.50 blend012,1783909273862829700,finch_p2,True,True,True,False,False,False,,False
1.0,32,32,1.0,0.0,0.8792,0.9135,0.7886,0.8893,0.38841480016708374,51,32,13,1.59375,unkda_nv050_blend012,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend012_ep6.npy,NV 0.50 blend012,1783909273862829700,louvain_res6,True,True,True,True,True,True,,True
0.9688,31,32,1.0,0.0,0.8368,0.887,0.6546,0.8505,0.3177768290042877,61,32,14,1.90625,unkda_nv050_blend013,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend013_ep6.npy,NV 0.50 blend013,1783909273925134800,finch_p2,True,True,True,False,False,True,,False
0.9375,30,32,1.0,0.0,0.8671,0.9066,0.7802,0.8788,0.3925968408584595,52,32,13,1.625,unkda_nv050_blend013,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend013_ep6.npy,NV 0.50 blend013,1783909273925134800,louvain_res6,False,True,False,False,False,True,,False
0.9062,29,32,1.0,0.0,0.8627,0.8894,0.685,0.8671,0.3300158381462097,58,32,15,1.8125,unkda_nv050_blend014,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend014_ep6.npy,NV 0.50 blend014,1783909273977295400,finch_p2,False,True,True,False,False,True,,False
1.0,32,32,1.0,0.0,0.8818,0.9217,0.8107,0.8948,0.3939410448074341,51,32,12,1.59375,unkda_nv050_blend014,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend014_ep6.npy,NV 0.50 blend014,1783909273977295400,louvain_res6,True,True,True,True,True,True,,True
0.9062,29,32,1.0,0.0,0.8626,0.8773,0.6547,0.8609,0.3394986689090729,56,32,14,1.75,unkda_nv050_blend015,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend015_ep6.npy,NV 0.50 blend015,1783909274033000300,finch_p2,False,True,True,False,False,True,,False
0.9375,30,32,1.0,0.0,0.8756,0.9131,0.7866,0.887,0.39489367604255676,52,32,12,1.625,unkda_nv050_blend015,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend015_ep6.npy,NV 0.50 blend015,1783909274033000300,louvain_res6,False,True,True,True,True,True,,False
0.9375,30,32,1.0,0.0,0.853,0.8925,0.6872,0.8631,0.3221001327037811,55,32,13,1.71875,unkda_nv050_blend020,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend020_ep6.npy,NV 0.50 blend020,1783908374422115600,finch_p2,True,True,True,True,False,True,,False
0.9375,30,32,1.0,0.0,0.8835,0.9184,0.8104,0.8942,0.395640105009079,50,32,12,1.5625,unkda_nv050_blend020,6,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_blend020_ep6.npy,NV 0.50 blend020,1783908374422115600,louvain_res6,False,True,True,True,True,True,,False
